numero_dec,solution,article38,date_dec,jonction,id_infos_circo_tf,id_infos_circo_t1,annee_election,date_premier_tour,date_second_tour,type_election,nom_dep,circonscription,tour_final,tf_nb_exprimees,tf_nb_votant,tf_nb_inscrit,tf_ecart1,tf_r1_nuance,tf_r1_nb_voix,tf_r1_sortant,tf_r1_civilite,tf_r2_nuance,tf_r2_nb_voix,tf_r2_sortant,tf_r2_civilite,t1_nb_exprimes,t1_nb_votant,t1_nb_inscrit,t1_ecart1,t1_ecart2,t1_r1_nuance,t1_r1_nb_voix,t1_r1_sortant,t1_r1_civilite,t1_r2_nuance,t1_r2_nb_voix,t1_r2_sortant,t1_r2_civilite,t1_r3_nuance,t1_r3_nb_voix,t1_r3_sortant,t1_r3_civilite
97-2434,Inéligibilité,,1998-2-20,unique,9683,9112,1997,1997-5-25,1997-6-1,an,haute-vienne,3,2,46953,50431,66104,9975,SOC,28464,FALSE,F,RPR,18489,FALSE,M,44255,47652,66109,2131,5694,SOC,14684,FALSE,F,RPR,12553,FALSE,M,COM,6859,FALSE,F
97-2435,Inéligibilité,,1998-2-20,unique,9568,8995,1997,1997-5-25,1997-6-1,an,rhone,12,2,45311,47548,66806,4957,RPR,25134,TRUE,M,SOC,20177,FALSE,M,43474,44871,66806,5212,3069,RPR,15071,TRUE,M,SOC,9859,FALSE,M,FRN,6790,FALSE,M
97-2436,Inéligibilité,,1998-2-20,unique,9568,8995,1997,1997-5-25,1997-6-1,an,rhone,12,2,45311,47548,66806,4957,RPR,25134,TRUE,M,SOC,20177,FALSE,M,43474,44871,66806,5212,3069,RPR,15071,TRUE,M,SOC,9859,FALSE,M,FRN,6790,FALSE,M
97-2441,Inéligibilité,,1998-2-20,unique,9747,9177,1997,1997-5-25,1997-6-1,an,val-d-oise,7,2,51238,52525,72255,980,ECO,22891,FALSE,M,RPR,21911,TRUE,M,46368,48192,72169,518,3503,RPR,13044,TRUE,M,ECO,12526,FALSE,M,FRN,9023,FALSE,M
97-2443,Inéligibilité,,1998-2-20,unique,9746,9176,1997,1997-5-25,1997-6-1,an,val-d-oise,6,2,42130,44519,64983,5214,RPR,23672,FALSE,M,SOC,18458,FALSE,F,40576,42087,64993,4644,1837,RPR,13961,FALSE,M,SOC,9317,FALSE,F,FRN,7480,FALSE,M
97-2444,Inéligibilité,,1998-2-20,unique,9748,9178,1997,1997-5-25,1997-6-1,an,val-d-oise,8,2,28444,30212,45823,5490,SOC,16967,FALSE,M,RPR,11477,FALSE,M,27454,28562,45930,4306,232,SOC,10055,FALSE,M,RPR,5749,FALSE,M,FRN,5517,FALSE,M
2012-4566,Rejet,Oui,2012-7-13,unique,12525,11952,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,3,2,35225,37291,70329,699,SOC,17962,FALSE,F,FRN,17263,FALSE,M,36739,37418,70351,27,3523,FRN,10975,FALSE,M,SOC,10948,FALSE,F,UMP,7425,FALSE,F
2012-4598,Rejet,Non,2012-12-7,unique,12525,11952,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,3,2,35225,37291,70329,699,SOC,17962,FALSE,F,FRN,17263,FALSE,M,36739,37418,70351,27,3523,FRN,10975,FALSE,M,SOC,10948,FALSE,F,UMP,7425,FALSE,F
2012-4616,Rejet,Non,2012-11-29,unique,12965,12420,2012,2012-6-10,2012-6-17,an,seine-saint-denis,8,2,32464,33336,60335,552,SOC,16508,FALSE,F,UMP,15956,FALSE,M,32659,33135,60129,744,7707,SOC,12371,FALSE,F,UMP,11627,FALSE,M,FRN,3920,FALSE,M
2012-4628,Rejet,Non,2012-12-14,unique,12526,11953,2012,2012-6-10,2012-6-17,an,bouches-du-rhone,4,2,27178,28517,58696,11128,SOC,19163,FALSE,M,FRN,8035,FALSE,F,30470,30864,58700,5779,103,SOC,10135,FALSE,M,FRN,4356,FALSE,F,UMP,4253,FALSE,F
2012-4648,Rejet,Oui,2012-7-20,unique,12566,11997,2012,2012-6-10,2012-6-17,an,creuse,1,2,61620,64210,96735,9306,SOC,35463,FALSE,M,UMP,26157,FALSE,M,61326,62489,96749,6509,16034,SOC,27235,FALSE,M,UMP,20726,FALSE,M,FRN,4692,FALSE,M
